date,Approve,Disapprove
2013-10-29,44.9,50.9
2013-10-30,43.9,51.6
2013-10-31,43.9,51.5
2013-11-01,43.4,51.6
2013-11-02,43.4,51.7
2013-11-03,43.3,51.9
2013-11-04,43.5,51.9
2013-11-05,43.4,51.9
2013-11-06,42.7,52.2
2013-11-07,42.8,52.0
2013-11-08,42.4,52.4
2013-11-09,41.9,52.9
2013-11-10,42.0,52.9
2013-11-11,41.9,53.1
2013-11-12,41.4,53.3
2013-11-13,41.7,53.4
2013-11-14,41.3,54.3
2013-11-15,41.5,54.2
2013-11-16,41.3,54.2
2013-11-17,41.3,54.2
2013-11-18,40.7,54.4
2013-11-19,40.6,54.9
2013-11-20,40.3,55.3
2013-11-21,40.4,55.4
2013-11-22,40.5,55.4
2013-11-23,40.8,55.1
2013-11-24,40.6,55.0
2013-11-25,40.8,55.0
2013-11-26,41.0,55.0
2013-11-27,40.4,55.5
2013-11-28,40.4,55.5
2013-11-29,40.1,55.6
2013-11-30,40.1,55.5
2013-12-01,40.1,55.6
2013-12-02,40.0,55.6
2013-12-03,39.8,55.9
2013-12-04,40.1,55.5
2013-12-05,40.1,55.3
2013-12-06,40.0,55.4
2013-12-07,40.3,55.3
2013-12-08,40.6,55.0
2013-12-09,41.3,54.2
2013-12-10,41.3,53.4
2013-12-11,42.3,53.3
2013-12-12,42.7,53.1
2013-12-13,42.7,53.1
2013-12-14,42.6,53.2
2013-12-15,42.5,53.4
2013-12-16,42.6,53.3
2013-12-17,42.7,53.4
2013-12-18,42.5,53.5
2013-12-19,42.5,53.6
2013-12-20,42.2,53.9
2013-12-21,42.2,53.9
2013-12-22,42.1,54.1
2013-12-23,42.2,54.0
2013-12-24,42.4,53.8
2013-12-25,42.4,53.8
2013-12-26,42.3,53.9
2013-12-27,42.4,53.7
2013-12-28,42.6,53.6
2013-12-29,42.8,53.3
2013-12-30,42.7,53.4
2013-12-31,42.6,53.4
2014-01-01,42.6,53.4
2014-01-02,42.6,53.4
2014-01-03,42.4,53.6
2014-01-04,42.4,53.8
2014-01-05,42.3,53.8
2014-01-06,42.4,53.7
2014-01-07,42.8,53.7
2014-01-08,42.4,53.6
2014-01-09,42.1,53.1
2014-01-10,42.0,53.1
2014-01-11,42.0,53.3
2014-01-12,42.1,53.4
2014-01-13,42.0,53.4
2014-01-14,41.9,53.6
2014-01-15,42.1,53.3
2014-01-16,42.3,53.4
2014-01-17,42.4,52.8
2014-01-18,42.2,53.0
2014-01-19,42.0,53.2
2014-01-20,42.5,52.2
2014-01-21,42.8,51.8
2014-01-22,42.8,51.9
2014-01-23,43.2,51.6
2014-01-24,43.2,51.7
2014-01-25,43.6,51.7
2014-01-26,43.7,51.7
2014-01-27,43.7,51.7
2014-01-28,43.5,51.6
