title,main_topic_1_index,main_topic_1_weigth,main_topic_2_index,main_topic_2_weigth,main_topic_3_index,main_topic_3_weigth,main_topic_4_index,main_topic_4_weigth,main_topic_5_index,main_topic_5_weigth,main_topic_6_index,main_topic_6_weigth,main_topic_7_index,main_topic_7_weigth,main_topic_8_index,main_topic_8_weigth,main_topic_9_index,main_topic_9_weigth,main_topic_10_index,main_topic_10_weigth,main_topic_11_index,main_topic_11_weigth,main_topic_12_index,main_topic_12_weigth,main_topic_13_index,main_topic_13_weigth,main_topic_14_index,main_topic_14_weigth,main_topic_15_index,main_topic_15_weigth,main_topic_16_index,main_topic_16_weigth,main_topic_17_index,main_topic_17_weigth,main_topic_18_index,main_topic_18_weigth,main_topic_19_index,main_topic_19_weigth,main_topic_20_index,main_topic_20_weigth,main_topic_21_index,main_topic_21_weigth,main_topic_22_index,main_topic_22_weigth,main_topic_23_index,main_topic_23_weigth,main_topic_24_index,main_topic_24_weigth,main_topic_25_index,main_topic_25_weigth
United_Nations_Security_Council_2014,3,0.15321333215839916,9,0.12622788536525567,21,0.07270964672229371,7,0.03317346671899411,13,0.021731970703786904,15,0.0037714163488202137,11,4.085280678683016e-05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Peru_Press_Conference,15,0.1654261267260869,22,0.1420579723643893,16,0.07451925898982248,24,0.07355339153600426,10,0.051723155981963975,18,0.04186528985086671,3,0.03664615548246618,1,0.030806700700682716,17,0.02824678227131261,21,0.01949999933580249,5,0.01247498671544388,19,0.010509129581774196,8,0.010037600953475494,2,0.006868467687928727,6,0.006123628579124801,12,0.002251518090998643,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Boston_Marathon_Bombing_Second_Statement,9,0.25194852861016387,20,0.06929693756272014,19,0.021258875301733867,13,0.00582275113428076,6,0.0022800225874530606,24,0.0004000270990472935,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Martin_Dempsey_Retirement,8,0.10739524344225379,20,0.03621069270966706,19,0.03270127248537252,3,0.014677820021215681,23,0.012990661289730292,24,0.011418696452788158,14,0.010780383857246832,22,0.00713566418515257,10,0.0023949608714010006,1,0.0015717010178732662,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Gun_Violence_Connecticut_Speech,6,0.34938022185214596,22,0.018397910489368657,20,0.01775530522359083,17,0.009117088687031183,0,0.007733402514074182,23,0.00722731482709413,14,0.005877591138616633,4,0.002867349500462933,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Intelligence_Reform_Presser,4,0.15700944548434131,9,0.15089822229688096,24,0.09537905729764096,16,0.09497336464172125,10,0.0801209085280341,17,0.05741408681376103,22,0.028800559057613268,2,0.016836806820231143,18,0.01396422748857863,1,0.012517974797858407,12,0.005943648049939002,15,0.004012921759530614,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
UN_Ebola_Meeting,19,0.49580169877734387,18,0.016339188291387866,13,0.009537687366504236,4,0.006867764085289484,24,0.005543865728402223,3,0.0014116078376650602,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Egypt_History_Revolution,7,0.0394004834110054,13,0.038728965021378,21,0.03448974635557231,20,0.03116725949035089,0,0.010565884871165745,10,0.0073813843142077964,22,0.006372645778921651,11,0.002651724323467583,4,0.0020907885918991036,18,0.000505839819152478,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
West_Fertilizer_Tragedy_Memorial,20,0.19788492019392712,19,0.12177359105167086,17,0.013118057580347038,14,0.010925066001420564,22,0.0009079522999984319,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Dorothy_Height_Eulogy,20,0.06885485591337694,0,0.06875391595796805,22,0.011737067305578615,4,0.007741886793871873,13,0.00649585050439731,18,0.005280124199188003,5,0.0045313677772869584,14,0.0034409663472717606,23,0.0023238464588568753,2,0.0009136977027785539,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Presser_on_the_Economy_and_Foreign_Policy,11,0.1613207156366199,19,0.12470229563694868,16,0.12328749620162648,17,0.08680216726711969,1,0.07075382137554308,24,0.03343489582508594,22,0.03263700688915103,18,0.02123914599649469,9,0.016220979615688035,10,0.011201620743176042,4,0.009885603719545812,5,0.0066994548558262845,14,0.006253042499393355,21,0.004821474376920474,6,0.0033501358291973555,12,8.326139885768272e-05,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Rio_de_Janeiro,7,0.1001303871429863,5,0.021492453410741092,20,0.020949812647223724,17,0.016781447762567524,15,0.011554900512826552,14,0.011192897598528234,12,0.009765525934338357,13,0.008030801932633341,0,0.005990218305153478,22,0.005547603113578424,18,0.0031477347386719597,21,0.0014670544374123175,24,0.0012373947916416881,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Final_Presidential_Presser_of_2016,22,0.21970961416209217,16,0.13894344604564926,9,0.07835594023034664,15,0.044937858311301794,10,0.03609245932961941,24,0.034919392645063226,2,0.0287904956566665,1,0.027660890627964087,3,0.01750540211051698,13,0.01300948903254954,12,0.007351982884949074,5,0.007003817284446603,6,0.006457609012858351,4,0.00222852764380094,19,0.0018241686771173272,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ASEAN_Summit_2016,10,0.21216619475090062,15,0.2067860885143346,22,0.05399969876067577,16,0.04655600030464747,13,0.04546491903446574,3,0.02765686279567444,1,0.0044490623176785555,5,0.001988583370957435,21,0.00040175029017570257,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Prescription_Drug_Abuse_Forum_WV,19,0.16777321047913832,4,0.083472950045998,14,0.0643468281609428,20,0.049212871998657495,10,0.038396954648612515,22,0.026656255473778225,9,0.024971714406804176,6,0.02330018651560802,18,0.010647783955474513,17,0.009021297196888017,2,0.007868099019235813,0,0.005296881536420454,24,0.002942705413413491,15,0.0024851849065684528,23,0.002475248574549227,12,0.001580276251461324,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Dignity_and_Courage_of_Iranians,2,0.20656459522692974,13,0.02654153110077148,21,0.017408586091952376,20,0.015829096394205218,0,0.015500705946924372,10,0.007922819220441368,19,0.00014127854456028383,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Bagram_Air_Base_December_2010,8,0.2300568736655315,20,0.08639487860174247,22,0.0580907894048215,23,0.026578390026691625,0,0.008035898696783568,5,0.003268365583526135,17,0.002473547175920467,14,0.0018467763470482854,19,0.0011118834209942192,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Korean_War_Armistice_60,23,0.30439367576230614,20,0.05460203515969573,7,0.03529097103014855,8,0.03231628455523291,15,0.009415370114181547,0,0.007745376668741315,6,0.005311840268797616,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Berlin_Address,7,0.15115590970986537,20,0.036242127045973155,16,0.023828718442881716,8,0.021028395551781504,18,0.005758390347149424,2,0.0038052515244120203,0,0.0005017624540406488,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
