Effect,id,topic,Estimate,StdErrPred,DF,tValue,Probt
Intercept,112,6,-0.01431,0.01724,49E3,-0.83,0.4067
Intercept,155,6,0.005285,0.01402,49E3,0.38,0.7062
Intercept,189,6,-0.01794,0.01633,49E3,-1.10,0.2720
Intercept,205,6,0.008955,0.01450,49E3,0.62,0.5367
Intercept,318,6,-0.00430,0.01551,49E3,-0.28,0.7817
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,7,0.001476,0.006415,49E3,0.23,0.8180
Intercept,5,7,-0.01537,0.01422,49E3,-1.08,0.2798
Intercept,85,7,-0.00582,0.01217,49E3,-0.48,0.6326
Intercept,88,7,-0.01078,0.01678,49E3,-0.64,0.5206
Intercept,120,7,0.02272,0.01478,49E3,1.54,0.1244
Intercept,140,7,-0.00692,0.01314,49E3,-0.53,0.5983
Intercept,146,7,0.01411,0.01436,49E3,0.98,0.3258
Intercept,196,7,-0.00161,0.01378,49E3,-0.12,0.9071
Intercept,217,7,0.01151,0.01654,49E3,0.70,0.4864
Intercept,219,7,0.02363,0.01920,49E3,1.23,0.2185
Intercept,221,7,-0.01474,0.01926,49E3,-0.77,0.4441
Intercept,231,7,0.004734,0.01394,49E3,0.34,0.7341
Intercept,276,7,-0.00364,0.01374,49E3,-0.27,0.7909
Intercept,279,7,-0.00454,0.01637,49E3,-0.28,0.7815
Intercept,293,7,-0.03903,0.01353,49E3,-2.88,0.0039
Intercept,297,7,0.02950,0.01297,49E3,2.27,0.0229
Intercept,331,7,-0.02152,0.01452,49E3,-1.48,0.1385
Intercept,333,7,-0.00148,0.01840,49E3,-0.08,0.9360
Intercept,344,7,0.02391,0.01267,49E3,1.89,0.0592
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,8,-0.00193,0.005921,49E3,-0.33,0.7441
Intercept,9,8,-0.02319,0.01714,49E3,-1.35,0.1759
Intercept,10,8,-0.00892,0.01617,49E3,-0.55,0.5810
Intercept,32,8,0.005503,0.01498,49E3,0.37,0.7134
Intercept,47,8,0.01351,0.01418,49E3,0.95,0.3407
Intercept,63,8,0.001376,0.01542,49E3,0.09,0.9289
Intercept,93,8,0.02862,0.01734,49E3,1.65,0.0988
Intercept,94,8,-0.02910,0.01294,49E3,-2.25,0.0245
Intercept,97,8,0.004057,0.01449,49E3,0.28,0.7795
Intercept,144,8,0.009734,0.01721,49E3,0.57,0.5718
Intercept,168,8,-0.01903,0.01322,49E3,-1.44,0.1501
Intercept,172,8,0.005998,0.01513,49E3,0.40,0.6918
Intercept,176,8,0.009027,0.01844,49E3,0.49,0.6244
Intercept,178,8,0.005005,0.01702,49E3,0.29,0.7687
Intercept,191,8,0.002762,0.01706,49E3,0.16,0.8713
Intercept,226,8,0.002765,0.01266,49E3,0.22,0.8272
Intercept,241,8,-0.00627,0.01526,49E3,-0.41,0.6812
Intercept,245,8,0.01881,0.01675,49E3,1.12,0.2614
Intercept,257,8,0.003622,0.01398,49E3,0.26,0.7956
Intercept,260,8,-0.01100,0.01717,49E3,-0.64,0.5219
Intercept,271,8,-0.01589,0.01424,49E3,-1.12,0.2643
Intercept,294,8,0.01788,0.01804,49E3,0.99,0.3217
Intercept,303,8,0.005811,0.01456,49E3,0.40,0.6898
Intercept,327,8,0.01901,0.01540,49E3,1.23,0.2170
Intercept,330,8,-0.02768,0.01738,49E3,-1.59,0.1112
Intercept,335,8,-0.00842,0.01503,49E3,-0.56,0.5754
Intercept,341,8,-0.01010,0.01604,49E3,-0.63,0.5291
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,9,-0.00379,0.006837,49E3,-0.55,0.5795
Intercept,33,9,-0.01076,0.01817,49E3,-0.59,0.5536
Intercept,34,9,0.02061,0.01938,49E3,1.06,0.2878
Intercept,36,9,-0.01135,0.01373,49E3,-0.83,0.4085
Intercept,41,9,-0.00173,0.01591,49E3,-0.11,0.9132
Intercept,42,9,0.005561,0.01877,49E3,0.30,0.7670
Intercept,50,9,0.01780,0.01657,49E3,1.07,0.2826
Intercept,61,9,0.01741,0.01664,49E3,1.05,0.2954
Intercept,64,9,-0.01592,0.01643,49E3,-0.97,0.3326
Intercept,115,9,0.000454,0.01898,49E3,0.02,0.9809
Intercept,121,9,-0.01504,0.01707,49E3,-0.88,0.3781
Intercept,136,9,0.009345,0.01793,49E3,0.52,0.6023
Intercept,143,9,-0.01852,0.01817,49E3,-1.02,0.3079
Intercept,153,9,0.009391,0.01615,49E3,0.58,0.5609
Intercept,160,9,0.005292,0.01667,49E3,0.32,0.7509
Intercept,163,9,0.003205,0.01841,49E3,0.17,0.8618
Intercept,197,9,0.006786,0.01771,49E3,0.38,0.7017
Intercept,225,9,-0.01451,0.01767,49E3,-0.82,0.4117
Intercept,246,9,0.01043,0.01606,49E3,0.65,0.5161
Intercept,269,9,0.002852,0.01904,49E3,0.15,0.8809
Intercept,280,9,-0.02363,0.01224,49E3,-1.93,0.0535
Intercept,317,9,-0.00965,0.01776,49E3,-0.54,0.5869
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
Intercept,_,_,0,0.02110,49E3,0.00,1.0000
